book,author(s),original_language,first_published,approximate_sales_in_millions,amazon_link
A Tale of Two Cities,Charles Dickens,English,1859,200.0,https://www.amazon.com/Tale-Two-Cities-Charles-Dickens-ebook/dp/B004EHZXVQ/ 
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200.0,https://www.amazon.com/little-Prince-Antoine-Saint-Exup%C3%A9ry/dp/0544656490/
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120.0,https://www.amazon.com/Harry-Potter-Sorcerers-Stone-Book/dp/B017V4IMVQ/
And Then There Were None,Agatha Christie,English,1939,100.0,https://www.amazon.com/And-Then-There-Were-None-audiobook/dp/B00ENI0HUI/ 
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100.0,https://www.amazon.com/Dreams-My-Father-Story-Inheritance/dp/B0992PZY9J/ 
The Hobbit,J. R. R. Tolkien,English,1937,100.0,https://www.amazon.com/The-Hobbit-J-R-R-Tolkien-audiobook/dp/B0099SNV7I/
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85.0,https://www.amazon.com/Lion-Witch-Wardrobe-Chronicles-Narnia/dp/B0009NS97Y/
She: A History of Adventure,H. Rider Haggard,English,1887,83.0,https://www.amazon.com/She-A-History-of-Adventure/dp/B004YZL0YM/
Vardi Wala Gunda (वर्दी वाला गुंडा),Ved Prakash Sharma,Hindi,1992,80.0,https://www.amazon.com/%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%A6%E0%A5%80-%E0%A4%97%E0%A5%81%E0%A4%82%E0%A4%A1%E0%A4%BE-Vardi-Gunda-Hindi-ebook/dp/B08CY6F1DF/
The Da Vinci Code,Dan Brown,English,2003,80.0,https://www.amazon.com/Vinci-Code-Novel-Robert-Langdon-ebook/dp/B000FA675C/
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77.0,https://www.amazon.com/Potter-Chamber-Secrets-Daniel-Radcliffe/dp/B0B8NFFMXG/ref=sr_1_1_sspa?crid=2HZBHAZ6ZIUE7&dib=eyJ2IjoiMSJ9.5k2O1riCsboIWzu6Wv1XHPD6ozAWqqbaa0598Epi7Uy2Jt5_ejZvu3Z7lRWR8pPTqXcTlQ7FdGy5KkfRRTFWltKuMAEwMALd6AK0-4PRTW5wM6-w9VgW-Xrb26djDKVXLezlYvp7VzO36PNZo33Y38Fh-ByobNAmW9uh0H1joQuWwVpuKc4PVmmVgncXhfjZBwgSCJsah3GNMncBrIBB2T9w5oeOLfxPsojNc6naoqE.RbUjPN7jbEzpc-LmhseaR-JJR_5MGd0dfZKFgN292GQ&dib_tag=se&keywords=Harry+Potter+and+the+Chamber+of+Secrets&qid=1731961065&sprefix=harry+potter+and+the+chamber+of+secrets%2Caps%2C138&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65.0,https://www.amazon.com/Harry-Potter-Prisoner-Azkaban-Book/dp/B017V4NTFA/ref=sr_1_1?crid=G2K1TGVJ5BIR&dib=eyJ2IjoiMSJ9.8Vhg_0RXeIXaYXlXyDho-QvONWmkChvDn-SJGqsu6-iGZdEAjrIiGYocb8cY2qvzxrzIGt-kdUTxx6jT2f-2KYnJUahVLelGybRyz6lYdi0vLHdYZKY2i5M6O1G2l-m0h4eGnWEnJ-9tusjXnhfp_rIu6469lCWqCLdsYule95JTfb83hMk9_l00y5txHKmXs52mV37Uww098lvDCMsUfyR-4KpZdh95xGATekn_HvU.CNeAGt1twLP0YYvJQZ-dLFWjmfmwudVxUvSQsZ4mghw&dib_tag=se&keywords=Harry+Potter+and+the+Prisoner+of+Azkaban+book&qid=1731961137&sprefix=harry+potter+and+the+prisoner+of+azkaban+book%2Cinstant-video%2C85&sr=8-1
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65.0,https://www.amazon.com/Harry-Potter-Goblet-Fire-Book/dp/B017V4NQGM/ref=sr_1_1?crid=N1PRH16WVCTG&dib=eyJ2IjoiMSJ9.tuWYPjUPsKkNSPicEM4UBdLrkaswI7ZOJjQ5lkd_aMvqCgBiUBBayeJoi4lR_xQ_JJUIo1Boh7Vx1pn54fnHB2K7R5UcWX-w4jV5wc9BOKP2QQWOA4AP8dh7jt_66CWmIoJ_FH17FCWZbQ08AYk_sg.b9IwO9ldt-1vLBS1eiyJKaVCuW2nxcZ3oVyaOMnfYKI&dib_tag=se&keywords=Harry+Potter+and+the+Goblet+of+Fire&qid=1731961157&s=audible&sprefix=harry+potter+and+the+goblet+of+fire%2Caudible%2C108&sr=1-1
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65.0,https://www.amazon.com/Harry-Potter-Order-Phoenix-Book/dp/B017V4NLJ4/ref=sr_1_1?crid=1RPPVY1TXU9DQ&dib=eyJ2IjoiMSJ9.H3V7fZ6gNZjlHDfkW1u0dv2RAHx1VWUxu0z23Q6A8IoHvzIbVJgRx9oH6A3VcJX3YjF5fWMLKn_QAiy8w7Lk2L7pBm-Ek0idYs1YsAlKCfo.FMyRxVclop0Nt9iMP2pFtsrsiI5ZYNlWm2LrAFd_dEM&dib_tag=se&keywords=Harry+Potter+and+the+Order+of+the+Phoenix&qid=1731961186&s=audible&sprefix=harry+potter+and+the+order+of+the+phoenix%2Caudible%2C121&sr=1-1
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65.0,https://www.amazon.com/Harry-Potter-Half-Blood-Prince-Book/dp/B017V4NOEG/ref=sr_1_1?crid=728LLRMTQH9J&dib=eyJ2IjoiMSJ9.ex4DTc2F75VM5RvvFaLp7k64DV0sC4xiDB0PWsaUDhCM7AyCcma6ZC-4mqnePid6XhPmvMRpgAaxPIg0NJeBryd0cFZtll-8uLxKIRCCkPOnU9CvOpnb5rx7GyaMX2_H2DQYcVmMP1n0YHNxUPXJgw.xUaVzxBHjC4sAtOJPgjvTyP32FaT8iQFjf6zbyeEzDM&dib_tag=se&keywords=Harry+Potter+and+the+Half-Blood+Prince&qid=1731961201&s=audible&sprefix=harry+potter+and+the+half-blood+prince%2Caudible%2C79&sr=1-1
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65.0,https://www.amazon.com/Harry-Potter-Deathly-Hallows-Book/dp/B017WJ5PR4/ref=sr_1_1?crid=22ZE6MN7RLHA6&dib=eyJ2IjoiMSJ9.RW3dRQrr5dJpPYW5_BucKBt6w16UWnm0QSGjxD4o2kI572CQuCfar2NmwG92_ueT-fRFL2VZerGWwkhnBTrSVI0KCEPDujsh3S8X7WLKPv5-Yr6k2SYkBu-1Uqw7kaKi.Gg1Hlb7AXt8uMKNe57pAxbpouPeBooUAFxzL0k-Mwhw&dib_tag=se&keywords=Harry+Potter+and+the+Deathly+Hallows&qid=1731961213&s=audible&sprefix=harry+potter+and+the+deathly+hallows%2Caudible%2C114&sr=1-1
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65.0,https://www.amazon.com/The-Alchemist-Paulo-Coelho-audiobook/dp/B000BO2D3C/ref=sr_1_2?crid=2K5O25RAE4WOP&dib=eyJ2IjoiMSJ9.elDXgUa9gVq84SXtSf5-BoDKL4KPr6SAX2Db8j56qWM.ikQjZnqdRMoPbfxeuodQ_e_y0ao6PwZ9NolKmPS8pd4&dib_tag=se&keywords=The+Alchemist+%28O+Alquimista%29&qid=1731961225&s=audible&sprefix=the+alchemist+o+alquimista+%2Caudible%2C90&sr=1-2
The Catcher in the Rye,J. D. Salinger,English,1951,65.0,https://www.amazon.com/Catcher-Rye-J-D-Salinger/dp/0316769177/ref=sr_1_1?crid=1T6I4195O91KV&dib=eyJ2IjoiMSJ9.UsuFzSj-YAZ885TwLHbV21F2VgPIgyOKsW5NJ6OFR146M8h0IS_QBoaj9nyzN3y-D7PR5LjVdPF63QaMXtHO1YXzUR-Wni3UI7XhjchReYge3b_23U-CZQ9wUb9irjeCugM4ZQ6twaWI2-1ybFErNBqn2kiJM_WvX5xXfItZPcYaTExkdfCoSTPwIZmgeiOOCHGrFg7cinsHtq2p9xPndBR5R-mEeJl4N-epXteARjY.CGy8DRTyy7Q4xZAmQDhwGVSPrC-atyOgleiQGMJ81Fo&dib_tag=se&keywords=The+Catcher+in+the+Rye&qid=1731961261&sprefix=the+catcher+in+the+rye%2Caudible%2C76&sr=8-1
The Bridges of Madison County,Robert James Waller,English,1992,60.0,https://www.amazon.com/Bridges-of-Madison-County-audiobook/dp/B00H7HS4QG/ref=sr_1_1?crid=16FJ6SCHV2WBV&dib=eyJ2IjoiMSJ9.UqEXiF-hkvi6ttHfhr44Q_BQ-xj_voPyQI137D5h7F91Lkfhk4T7ZK5_9R-AOxXrNcFKeOv_olzh6NR6pVVObXogo0M9SkzSGmNWwm-Ci-E5bmMU--0oYl9lOt4BJP34AhVb5rLozhfp_K3UL65pcmjBlHuePc_t_7kmflNEFmoojXKuyBfCXbQO3_dK1FiYwUauLUXtkQA-EFGayF35XTjzrU5hBsm6cQTsLy5K2k4.dMbxv0fKQ7uETo4v6pRpxmD2XgVgBORfhoykn0QULyQ&dib_tag=se&keywords=The+Bridges+of+Madison+County&qid=1731961278&sprefix=the+bridges+of+madison+county%2Caps%2C98&sr=8-1
